sim_time,callsign,x_nm,y_nm,altitude,heading,airspeed,target_altitude,target_heading,target_airspeed,loc,gs,on_ground,star,target_wpt,terminal,cmd_raw,cmd_abort,cmd_heading,cmd_altitude_ft,cmd_speed,cmd_waypoint,cmd_holding_wpt,cmd_holding_turn,cmd_landing_runway,cmd_expedite_alt,cmd_expedite_speed
4.0,AA892,29.766464,-4.0002,6940.0,270.0,244.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
5.0,AA892,29.689938,-4.0002,6920.0,270.0,242.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
6.0,AA892,29.614071,-4.0002,6900.0,270.0,240.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
7.0,AA892,29.538863,-4.0002,6880.0,270.0,238.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
8.0,AA892,29.464313,-4.0002,6860.0,270.0,236.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
9.0,AA892,29.390421,-4.0002,6840.0,270.0,234.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
10.0,AA892,29.317187,-4.0002,6820.0,270.0,232.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
11.0,AA892,29.244609,-4.0002,6800.0,270.0,230.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
12.0,AA892,29.172688,-4.0002,6780.0,270.0,228.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
13.0,AA892,29.101422,-4.0002,6760.0,270.0,226.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
14.0,AA892,29.030812,-4.0002,6740.0,270.0,224.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
15.0,AA892,28.960858,-4.0002,6720.0,270.0,222.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
16.0,AA892,28.891558,-4.0002,6700.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
17.0,AA892,28.822282,-4.0002,6680.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
18.0,AA892,28.753031,-4.0002,6660.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
19.0,AA892,28.683804,-4.0002,6640.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
20.0,AA892,28.614602,-4.0002,6620.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
21.0,AA892,28.545424,-4.0002,6600.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
22.0,AA892,28.476271,-4.0002,6580.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
23.0,AA892,28.407142,-4.0002,6560.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
24.0,AA892,28.338038,-4.0002,6540.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
25.0,AA892,28.268958,-4.0002,6520.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
26.0,AA892,28.199902,-4.0002,6500.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
27.0,AA892,28.130871,-4.0002,6480.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
28.0,AA892,28.061864,-4.0002,6460.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
29.0,AA892,27.992882,-4.0002,6440.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
30.0,AA892,27.923924,-4.0002,6420.0,270.0,220.0,5000,270.0,220,False,False,,SOUTH3,WP15,,,,,,,,,,,,
